identifier_original	identifier_novel	name_original	name_novel	custom	metanetx	gene	enzyme
R10ADDA8D	null	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.2	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.2	FALSE			
R10B74042	null	transport of 3-hydroxyoctadecanoyl carnitine into extra cellular space	transport of 3-hydroxyoctadecanoyl carnitine into extra cellular space	FALSE			
R10BCDACC	null	Concentrative Nucleoside Transporter (CNT) TCDB:2.A.41.2.3	Concentrative Nucleoside Transporter (CNT) TCDB:2.A.41.2.3	FALSE			
R10CAB977	null	blood group intracellular transport	blood group intracellular transport	FALSE			
R10D72B29	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R10DF1511	null	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1	FALSE			
R10E848C1	null	ADPribose 2'-phosphate exchange	ADPribose 2'-phosphate exchange	FALSE			
R10F91056	null	transport of malonyl carnitine into extra cellular space	transport of malonyl carnitine into extra cellular space	FALSE			
R111F26C9	null	Utilized transport	Utilized transport	FALSE			
R115D4512	null	Exchange of Isomaltose	Exchange of Isomaltose	FALSE			
R11608C2D	null	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.14	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.14	FALSE			
R1166B47A	null	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.14	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.14	FALSE			
R11A22F1B	null	transport of hexanoyl carnitine into the extra cellular fluid	transport of hexanoyl carnitine into the extra cellular fluid	FALSE			
R11A3BDE3	null	triacylglycerol (homo sapiens) exchange	triacylglycerol (homo sapiens) exchange	FALSE			
R11C7A765	null	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.5	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.5	FALSE			
R11E7A7D3	null	Creatine exchange	Creatine exchange	FALSE			
R1212F4AE	null	galgalgalthcrm hs transport	galgalgalthcrm hs transport	FALSE			
R123A58DD	null	Protein degradation	Protein degradation	FALSE			
R125DC864	null	Major Facilitator(MFS) TCDB:2.A.1.13.1	Major Facilitator(MFS) TCDB:2.A.1.13.1	FALSE			
R12732473	null	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.2	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.2	FALSE			
R12836BD8	null	Methylglyoxal exchange	Methylglyoxal exchange	FALSE			
R128B924F	null	exchange reaction for hydroxy proline	exchange reaction for hydroxy proline	FALSE			
R1295D6E3	null	prostaglandin-b2 exchange	prostaglandin-b2 exchange	FALSE			
R129C168C	null	urea, water cotransport	urea, water cotransport	FALSE			
R12ABC74	null	deoyguanosine transport via diffusion	deoyguanosine transport via diffusion	FALSE			
R131F1250	null	galactose transport via sodium symport	galactose transport via sodium symport	FALSE			
R134784DD	null	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.2	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.2	FALSE			
R1352C25C	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R136FB00A	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R1372695E	null	Serine/Lysine Na-dependent exchange (Ser in)	Serine/Lysine Na-dependent exchange (Ser in)	FALSE			
R13C69FF6	null	blood group intracellular transport	blood group intracellular transport	FALSE			
R13D86025	null	D-Serine/Glutamine reversible exchange	D-Serine/Glutamine reversible exchange	FALSE			
R13EFBAF2	null	transport of Glycine into the cell coupled with co-transport with Sodium and counter transport with proton by SNAT5 transporter.	transport of Glycine into the cell coupled with co-transport with Sodium and counter transport with proton by SNAT5 transporter.	FALSE			
R13FF3D4D	null	transport of L-Tryptophan into the intestinal cells by ATB0 transporter	transport of L-Tryptophan into the intestinal cells by ATB0 transporter	FALSE			
R140DDD0E	null	R total 2 position exchange	R total 2 position exchange	FALSE			
R141AC260	null	(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1 exchange	(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1 exchange	FALSE			
R1453FFD0	null	Exchange of pyridoxal 5-phosphate(2-)	Exchange of pyridoxal 5-phosphate(2-)	FALSE			
R1464A1B3	null	Prostaglandin D2 exchange	Prostaglandin D2 exchange	FALSE			
R146CC86D	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R14846B51	null	Organic anion transporter 5 Utilized transport	Organic anion transporter 5 Utilized transport	FALSE			
R1498F8A6	null	tetracosapentaenoic acid, n-6 exchange	tetracosapentaenoic acid, n-6 exchange	FALSE			
R14D321A	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R14DC2691	null	Vesicular transport	Vesicular transport	FALSE			
R1534EB75	null	Prothrombin exchange	Prothrombin exchange	FALSE			
R15353DB6	null	L-cysteine transport via diffusion (extracellular to cytosol)	L-cysteine transport via diffusion (extracellular to cytosol)	FALSE			
R1551EF5E	null	Amino acid transporter ATB0+ Facilitated diffusion	Amino acid transporter ATB0+ Facilitated diffusion	FALSE			
R15693AA3	null	Methionine/Leucine exchange (Met in)	Methionine/Leucine exchange (Met in)	FALSE			
R156BB441	null	leukotriene E4 exchange	leukotriene E4 exchange	FALSE			
R1584018C	null	biotinidase (biotin), extracellular	biotinidase (biotin), extracellular	FALSE			
R158AF036	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R15AE7F4E	null	corticosterone transport	corticosterone transport	FALSE			
R15B0AEEB	null	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1	FALSE			
R15B913A7	null	L-arginine transport via diffusion (extracellular to cytosol)	L-arginine transport via diffusion (extracellular to cytosol)	FALSE			
R15DF7064	null	EX_fe2(u)	EX_fe2(u)	FALSE			
R15E82E07	null	D-Aspartate exchange	D-Aspartate exchange	FALSE			
R15F65D31	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R160F1943	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R16142346	null	transport of L-Isoleucine into the cell and efflux of L-Phenylalanine out of the cell by LAT2 on the basolateral surfaces of kidney and intestine and Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1	transport of L-Isoleucine into the cell and efflux of L-Phenylalanine out of the cell by LAT2 on the basolateral surfaces of kidney and intestine and Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1	FALSE			
R1645F533	null	Lacto-N-fucopentaosyl III ceramide exchange	Lacto-N-fucopentaosyl III ceramide exchange	FALSE			
R166ACEE3	null	3-Methylimidazoleacetic acid exchange	3-Methylimidazoleacetic acid exchange	FALSE			
R16740348	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R16792229	null	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.2	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.2	FALSE			
R167E0BF3	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R1690DE40	null	cholate transport via sodium cotransport	cholate transport via sodium cotransport	FALSE			
R1695EE12	null	Exchange of orotate	Exchange of orotate	FALSE			
R169699CC	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R16AF6668	null	debrisoquine uniport	debrisoquine uniport	FALSE			
R16EC6714	null	phosphatidylethanolamine flippase	phosphatidylethanolamine flippase	FALSE			
R16FE148B	null	Exchange of 3-methyl-2-oxobutanoate	Exchange of 3-methyl-2-oxobutanoate	FALSE			
R170397B6	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R17132D4D	null	Organic anion transporter 5 Utilized transport	Organic anion transporter 5 Utilized transport	FALSE			
R17161751	null	transport of Glycylproline by the apical PEPT1 amino acid transporters across the brush border cells of the enterocytes of the intestine and renal cells	transport of Glycylproline by the apical PEPT1 amino acid transporters across the brush border cells of the enterocytes of the intestine and renal cells	FALSE			
R1738803E	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R1747F6A8	null	L-leucine transport in via sodium symport	L-leucine transport in via sodium symport	FALSE			
R175C8853	null	alpha-Pinene-oxide exchange	alpha-Pinene-oxide exchange	FALSE			
R1773F705	null	s2l2n2m2masn transport, extracellular to lysosome	s2l2n2m2masn transport, extracellular to lysosome	FALSE			
R177D5F12	null	Na+ / iodide cotransport	Na+ / iodide cotransport	FALSE			
R17B5BC97	null	pyruvate reversible transport via proton symport	pyruvate reversible transport via proton symport	FALSE			
R181C4CA7	null	Testosterone transport	Testosterone transport	FALSE			
R182DD96A	null	leukotriene B4 exchange	leukotriene B4 exchange	FALSE			
R182EE903	null	Transport of L-malate	Transport of L-malate	FALSE			
R183F111A	null	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	FALSE			
R186ADE47	null	phosphate transport in/out via three Na+ symporter	phosphate transport in/out via three Na+ symporter	FALSE			
R1882694E	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R18952748	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R1896EA14	null	estrone glucuronide exchange	estrone glucuronide exchange	FALSE			
R18E8BAB6	null	Alanine-Sodium symporter	Alanine-Sodium symporter	FALSE			
R191F17A4	null	3-mercaptolactate-cysteine disulfide exchange	3-mercaptolactate-cysteine disulfide exchange	FALSE			
R1944A67E	null	Transport of 5-oxoprolinate	Transport of 5-oxoprolinate	FALSE			
R196CFCCC	null	D-lactate transport via proton symport	D-lactate transport via proton symport	FALSE			
R19825619	null	estrone-3-sulfate transport via sodium cotransport	estrone-3-sulfate transport via sodium cotransport	FALSE			
R1988A3CF	null	fatty acid transport via diffusion	fatty acid transport via diffusion	FALSE			
R19955A0A	null	Major Facilitator(MFS) TCDB:2.A.1.13.1	Major Facilitator(MFS) TCDB:2.A.1.13.1	FALSE			
R19A156DE	null	exchange reaction for Deoxyguanosine	exchange reaction for Deoxyguanosine	FALSE			
R19AF8E0C	null	Y+LAT2 Utilized transport	Y+LAT2 Utilized transport	FALSE			
R19C61D4F	null	antipyrene exchange	antipyrene exchange	FALSE			
