identifier_original	identifier_novel	name_original	name_novel	hmdb_novel	hmdb_error	pubchem_novel	pubchem_error	custom	note
MNXM160	MNXM160	Glucose 6-phosphate	Glucose 6-phosphate	HMDB0001401		5958		TRUE	
MNXM89588	MNXM89588	Glucose 1-phosphate	Glucose 1-phosphate	HMDB0001586		439165		TRUE	
MNXM89588	MNXM89588	Glucose 1-phosphate	Glucose 1-phosphate			65533		TRUE	identifier for metabolomic measurement data set
MNXM927	MNXM927	L-Cystine	L-Cystine	HMDB0000192		67678		TRUE	
MNXM927	MNXM927	L-Cystine	L-Cystine			595		TRUE	identifier for metabolomic measurement data set
MNXM89661	MNXM89661	Isocitric acid	Isocitric acid	HMDB0000193		1198		TRUE	
MNXM89661	MNXM89661	Isocitric acid	Isocitric acid			5318532		TRUE	identifier for metabolomic measurement data set
MNXM94	MNXM94	L-Tryptophan	L-Tryptophan	HMDB0000929		6305		TRUE	
MNXM94	MNXM94	L-Tryptophan	L-Tryptophan	HMDB0030396		1148		TRUE	
MNXM94	MNXM94	L-Tryptophan	L-Tryptophan			16217285		TRUE	identifier for metabolomic measurement data set
MNXM92401	MNXM92401	D-Tagatose	D-Tagatose	HMDB0003418		92092		TRUE	
MNXM92401	MNXM92401	D-Tagatose	D-Tagatose	HMDB0003418		439312		TRUE	
MNXM144	MNXM144	beta-alanine	beta-Alanine	HMDB0000056		239		TRUE	avoid confusion of isomers
MNXM144	MNXM144	beta-alanine	beta-Alanine		HMDB0001310		71080	TRUE	avoid confusion of isomers
MNXM144	MNXM144	beta-alanine	beta-Alanine		HMDB0000161		5950	TRUE	avoid confusion of isomers
MNXM144	MNXM144	beta-alanine	beta-Alanine				602	TRUE	avoid confusion of isomers
MNXM156	MNXM156	D-alanine	D-Alanine	HMDB0001310		71080		TRUE	avoid confusion of isomers
MNXM156	MNXM156	D-alanine	D-Alanine	HMDB0001310		602		TRUE	avoid confusion of isomers
MNXM156	MNXM156	D-alanine	D-Alanine		HMDB0000161		5950	TRUE	avoid confusion of isomers
MNXM156	MNXM156	D-alanine	D-Alanine		HMDB0062251			TRUE	avoid confusion of isomers
MNXM32	MNXM32	L-alanine	L-Alanine	HMDB0000161		5950		TRUE	avoid confusion of isomers
MNXM32	MNXM32	L-alanine	L-Alanine	HMDB0062251		602		TRUE	avoid confusion of isomers
MNXM32	MNXM32	L-alanine	L-Alanine		HMDB0001310		71080	TRUE	avoid confusion of isomers
MNXM89557	MNXM89557	L-Glutamic acid	L-Glutamic acid	HMDB0000148		33032		TRUE	
MNXM89557	MNXM89557	L-Glutamic acid	L-Glutamic acid	HMDB0060475		611		TRUE	
MNXM42	MNXM42	L-Aspartic acid	L-Aspartic acid	HMDB0000191		5960		TRUE	
MNXM42	MNXM42	L-Aspartic acid	L-Aspartic acid	HMDB0062186		424		TRUE	
MNXM42	MNXM42	L-Aspartic acid	L-Aspartic acid	HMDB0062501		4519554		TRUE	
MNXM974	MNXM974	D-Aspartic acid	D-Aspartic acid	HMDB0006483		83887		TRUE	
MNXM9757	MNXM9757	2,4 dihydroxy nitrophenol	2,4-Dihydroxy-nitrophenol	HMDB0006200		76623		TRUE	
MNXM6902	MNXM6902	4-oxo-retonoic acid	4-oxo-Retinoic acid	HMDB0006285		6437063		TRUE	
MNXM646	MNXM646	1D-myo-inositol 1-phosphate	Inositol phosphate	HMDB0002985		107737		TRUE	
MNXM58377	MNXM58377	13-cis-retinoate	13-cis-Retinoic acid	HMDB0006219		5282379		TRUE	
MNXM147340	MNXM147340	(S)-Glycerate	L-Glyceric acid	HMDB0006372		6326776		TRUE	
MNXM100	MNXM100	(2E)-geranyl diphosphate	Geranyl-PP	HMDB0001285		445995		TRUE	
MNXM1389	MNXM1389	(2E)-hexadecenal	Hexadecenal	HMDB0060482		5280541	0	TRUE	HMDB version 4 download includes erroneous references to PubChem
MNXM157161	MNXM157161	Leucyl-leucine	Leucyl-Leucine	HMDB0028933		94244	0	TRUE	HMDB version 4 download includes erroneous references to PubChem
MNXM1615	MNXM1615	1-methylpyrrolinium	1-Methylpyrrolinium	HMDB0060253		440932	0	TRUE	HMDB version 4 download includes erroneous references to PubChem
MNXM2063	MNXM2063	1D-myo-inositol 4-phosphate	D-Myo-inositol 4-phosphate	HMDB0001313			0	TRUE	HMDB version 4 download includes erroneous references to PubChem
MNXM2473	MNXM2473	2-cis,6-trans,10-trans-geranylgeranyl diphosphate	2-cis,6-trans,10-trans-Geranylgeranyl diphosphate	HMDB0060108		5281909	0	TRUE	HMDB version 4 download includes erroneous references to PubChem
MNXM254	MNXM254	hydrogen cyanide	Hydrogen cyanide	HMDB0060292		768	0	TRUE	HMDB version 4 download includes erroneous references to PubChem
MNXM36534	MNXM36534	3-hydroxykynurenamine	3-Hydroxykynurenamine	HMDB0060281		440736	0	TRUE	HMDB version 4 download includes erroneous references to PubChem
MNXM3867	MNXM3867	4-nitrophenyl phosphate	4-Nitrophenyl phosphate	HMDB0060272		378	0	TRUE	HMDB version 4 download includes erroneous references to PubChem
MNXM6691	MNXM6691	2-amino-3-oxoadipic acid	2-Amino-3-oxoadipate	HMDB0060273		440714	0	TRUE	HMDB version 4 download includes erroneous references to PubChem
MNXM739	MNXM739	4-hydroxybenzoyl-CoA	4-hydroxybenzoyl-CoA	HMDB0006467		168718	0	TRUE	HMDB version 4 download includes erroneous references to PubChem
MNXM739	MNXM739	4-hydroxybenzoyl-CoA	4-hydroxybenzoyl-CoA	HMDB0060140				TRUE	
MNXM814	MNXM814	cob(II)alamin	Cob(II)alamin	HMDB0006316			0	TRUE	HMDB version 4 download includes erroneous references to PubChem
MNXM9073	MNXM9073	quinoline-4,8-diol	Quinoline-4,8-diol	HMDB0060289		440737	0	TRUE	HMDB version 4 download includes erroneous references to PubChem
MNXM929	MNXM929	1D-myo-inositol 1,3,4,6-tetrakisphosphate	1D-Myo-inositol 1,3,4,6-tetrakisphosphate	HMDB0001187			0	TRUE	HMDB version 4 download includes erroneous references to PubChem
MNXM78	MNXM78	L-lysine	L-Lysine		HMDB0062809		641599	TRUE	
MNXM78	MNXM78	L-lysine	L-Lysine	HMDB0000182		5962		TRUE	
MNXM78	MNXM78	L-lysine	L-Lysine	HMDB0062809		641599		TRUE	
MNXM659	MNXM659	L-fucose	L-Fucose		HMDB0062489			TRUE	
MNXM659	MNXM659	L-fucose	L-Fucose	HMDB0000174		25310		TRUE	
MNXM659	MNXM659	L-fucose	L-Fucose			439650		TRUE	
MNXM659	MNXM659	L-fucose	L-Fucose			3034656		TRUE	
MNXM659	MNXM659	L-fucose	L-Fucose			17106		TRUE	
MNXM659	MNXM659	L-fucose	L-Fucose			94270		TRUE	identifier for metabolomic measurement data set
MNXM241	MNXM241	D-glucuronate	D-Glucuronic acid	HMDB0000127		444791		TRUE	
MNXM241	MNXM241	D-glucuronate	D-Glucuronic acid			94715		TRUE	identifier for metabolomic measurement data set
MNXM15900	MNXM15900	alpha-D-ribose 5-phosphate	D-Ribose 5-phosphate	HMDB0001548		439167		TRUE	
MNXM126	MNXM126	3-phospho-D-glycerate	3-Phosphoglyceric acid	HMDB0000807		724		TRUE	
MNXM152361	MNXM129	ascorbate	ascorbate					TRUE	
MNXM89592	MNXM129	ascorbate	ascorbate					TRUE	
MNXM129	MNXM129	L-ascorbate	Ascorbic acid	HMDB0000044		54670067		TRUE	identifier for metabolomic measurement data set
MNXM7478	MNXM7478	L-glyceraldehyde	L-Glyceraldehyde	HMDB0001051		751		TRUE	
MNXM435	MNXM435	D-glyceraldehyde	D-Glyceraldehyde	HMDB0001051		751		TRUE	
MNXM74	MNXM74	D-glyceraldehyde 3-phosphate	D-Glyceraldehyde 3-phosphate	HMDB0001112		729		TRUE	
MNXM89629	MNXM89629	keto-D-fructose 6-phosphate	Fructose 6-phosphate	HMDB0000124		69507		TRUE	
MNXM89629	MNXM89629	beta-D-fructose 6-phosphate	Fructose 6-phosphate	HMDB0003971		440641		TRUE	
MNXM417	MNXM417	D-fructose 1,6-bisphosphate	Fructose 1,6-bisphosphate	HMDB0001058		172313		TRUE	
MNXM417	MNXM417	Fructose 1,6-bisphosphate	Fructose 1,6-bisphosphate	HMDB0060444		10267		TRUE	
MNXM651	MNXM651	beta-D-fructose 2,6-bisphosphate	D-Fructose 2,6-bisphosphate	HMDB0001047		105021		TRUE	
MNXM175	MNXM175	D-fructose	D-fructose		HMDB0062538			TRUE	
MNXM175	MNXM175	D-fructose	D-Fructose	HMDB0000660		5984		TRUE	
MNXM175	MNXM175	D-fructose	D-Fructose	HMDB0000660		439709		TRUE	
MNXM167746	MNXM167746	Fructose 1-phosphate	Fructose 1-phosphate	HMDB0001076		10400369		TRUE	
MNXM167746	MNXM167746	Fructose 1-phosphate	Fructose 1-phosphate			65246		TRUE	identifier for metabolomic measurement data set
MNXM20	MNXM20	2-oxoglutarate	Oxoglutaric acid	HMDB0000208		51		TRUE	enhancement
MNXM1062	MNXM1062	2-acetamido-5-oxopentanoate	N-Acetyl-L-glutamate 5-semialdehyde	HMDB0006488		192878		TRUE	
MNXM114141	MNXM114141	2-hydroxy-3-(4-hydroxyphenyl)-propanoate	Hydroxyphenyllactic acid	HMDB0000755		9378		TRUE	
MNXM90148	MNXM90148	(S)-3-sulfolactate	(S)-3-sulfolactate			656446		TRUE	
MNXM11520	MNXM11520	erucic acid	Erucic acid	HMDB0002068		5281116		TRUE	
MNXM153	MNXM153	3-(4-hydroxyphenyl)pyruvate	4-Hydroxyphenylpyruvic acid	HMDB0000707		979		TRUE	
MNXM2800	MNXM2800	adipate(2-)	Adipic acid	HMDB0000448		196		TRUE	
MNXM10881	MNXM10881	CO	Carbon monoxide	HMDB0001361		281		TRUE	
MNXM2	MNXM2	H2O	Water					TRUE	
MNXM15	MNXM15	NH4(+)	ammonium					TRUE	
MNXM246	MNXM246	(S)-carnitine	(S)-carnitine	HMDB0062496		2724480		TRUE	
MNXM246	MNXM246	(S)-carnitine	(S)-carnitine	HMDB0062496		288		TRUE	
MNXM173	MNXM173	(R)-carnitine	(R)-carnitine	HMDB0000062		10917		TRUE	
MNXM173	MNXM173	(R)-carnitine	(R)-carnitine	HMDB0062496		288		TRUE	
MNXM103	MNXM103	cholesterol			HMDB62453			TRUE	
MNXM103	MNXM103	cholesterol	Cholesterol	HMDB0000067		5997		TRUE	MetaNetX references HMDB62453, an incorrect record
MNXM159	MNXM159	2-oxobutanoate	2-oxobutanoate	HMDB0000005				TRUE	
MNXM423	MNXM423	ITP	inosine 5’-triphosphate	HMDB0000189				TRUE	
MNXM495	MNXM495	IDP	inosine 5’-diphosphate	HMDB0003335				TRUE	
MNXM125	MNXM125	IMP	inosine 5’-monophosphate	HMDB0000175				TRUE	
MNXM89598	MNXM45	adenosine 3’,5’-bisphosphate	adenosine 3’,5’-bisphosphate	HMDB0000061				TRUE	
MNXM526151	MNXM51	Guanosine triphosphate	guanosine 5’-triphosphate					TRUE	
MNXM51	MNXM51	guanosine 5’-triphosphate	guanosine 5’-triphosphate	HMDB0001273				TRUE	
MNXM30	MNXM30	GDP	guanosine 5’-diphosphate	HMDB0001201				TRUE	
MNXM113	MNXM113	GMP	guanosine 5’-monophosphate	HMDB0001397				TRUE	
MNXM722415	MNXM121	Uridine triphosphate	Uridine triphosphate					TRUE	
MNXM121	MNXM121	UTP	uridine 5’-triphosphate	HMDB0000285				TRUE	
MNXM722410	MNXM17	Uridine 5’-diphosphate	Uridine 5’-diphosphate					TRUE	
MNXM17	MNXM17	UDP	uridine 5’-diphosphate	HMDB0000295				TRUE	
MNXM80	MNXM80	UMP	uridine 5’-monophosphate	HMDB0000288				TRUE	
MNXM63	MNXM63	CTP	cytidine 5’-triphosphate	HMDB0000082				TRUE	
MNXM220	MNXM220	CDP	Cytidine 5'-diphosphate	HMDB0001546		6132		TRUE	
MNXM220	MNXM220	Cytidine 5'-diphosphate	Cytidine 5'-diphosphate			290		TRUE	identifier for metabolomic measurement data set
MNXM31	MNXM31	CMP	Cytidine monophosphate	HMDB0000095		6131		TRUE	identifier for metabolomic measurement data set
MNXM60	MNXM60	hydrogencarbonate	hydrogen carbonate					TRUE	
MNXM27	MNXM27	Na(+)	sodium					TRUE	
MNXM38	MNXM38	FADH2	flavin adenine dinucleotide reduced					TRUE	
MNXM33	MNXM33	FAD	flavin adenine dinucleotide					TRUE	
MNXM21	MNXM21	acetyl-CoA	acetyl coenzyme A					TRUE	
MNXM8	MNXM8	NAD(+)	nicotinamide adenine dinucleotide					TRUE	
MNXM10	MNXM10	NADH	nicotinamide adenine dinucleotide reduced					TRUE	
MNXM5	MNXM5	NADP(+)	nicotinamide adenine dinucleotide phosphate					TRUE	
MNXM6	MNXM6	NADPH	nicotinamide adenine dinucleotide phosphate reduced					TRUE	
MNXM14	MNXM14	AMP	Adenosine monophosphate	HMDB0000045		6083		TRUE	
MNXM7	MNXM7	ADP	Adenosine 5'-diphosphate	HMDB0001341				TRUE	
MNXM3	MNXM3	ATP	adenosine 5’-triphosphate	HMDB0000538				TRUE	
MNXM12	MNXM12	CoA	Coenzyme A					TRUE	
MNXM01	MNXM1	H(+)	H(+)					TRUE	
MNXM1	MNXM1	H(+)	Proton					TRUE	
MNXM2	MNXM2	H2O	Water					TRUE	
MNXM4	MNXM4	O2	dioxygen					TRUE	
MNXM13	MNXM13	CO2	Carbon dioxide					TRUE	
MNXM22	MNXM22	H2O2	Hydrogen peroxide					TRUE	
MNXM995	MNXM995	3alpha-hydroxy-5alpha-androstan-17-one	androsterone					TRUE	
MNXM10053	MNXM10053	Mercplaccys	3-mercaptolactate-cysteine disulfide					FALSE	original name from Recon 2M.2
MNXM10347	MNXM10347	5adtststerones	5alpha-Dihydrotestosterone sulfate					FALSE	original name from Recon 2M.2
MNXM10441	MNXM10441	Eaflatoxin	8,9 epxoy aflatoxin B1					FALSE	original name from Recon 2M.2
MNXM10654	MNXM10654	G1m8mpdol U	alpha-D-Glucosyl-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog					FALSE	original name from Recon 2M.2
MNXM10659	MNXM10659	M1mpdol U	alpha-D-mannosyl-beta-D-mannosyl-diacylchitobiosyldiphosphodolichol, human uterine homolog					FALSE	original name from Recon 2M.2
MNXM10806	MNXM10806	Mpdol U	beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol, human uterine homolog					FALSE	original name from Recon 2M.2
MNXM10930	MNXM10930	Xolest2 hs	cholesterol ester (from FULLR2)					FALSE	original name from Recon 2M.2
MNXM10936	MNXM10936	Cs a deg1	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 1					FALSE	original name from Recon 2M.2
MNXM10937	MNXM10937	Cs a deg4	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 4					FALSE	original name from Recon 2M.2
MNXM10938	MNXM10938	Cs a deg5	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 5					FALSE	original name from Recon 2M.2
MNXM10939	MNXM10939	Cs b pre4	chondroitin sulfate B (IdoA2S-GalNAc4S), precursor 4					FALSE	original name from Recon 2M.2
MNXM10940	MNXM10940	Cs b pre5	chondroitin sulfate B (IdoA2S-GalNAc4s), precursor 5					FALSE	original name from Recon 2M.2
MNXM10941	MNXM10941	Cs b deg1	chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 1					FALSE	original name from Recon 2M.2
MNXM10942	MNXM10942	Cs b deg3	chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 3					FALSE	original name from Recon 2M.2
MNXM10943	MNXM10943	Cs c deg1	chondroitin sulfate C (GalNAc6S-GlcA), degradation product 1					FALSE	original name from Recon 2M.2
MNXM10944	MNXM10944	Cs c deg4	chondroitin sulfate C (GalNAc6S-GlcA), degradation product 4					FALSE	original name from Recon 2M.2
MNXM10945	MNXM10945	Cs c pre2	chondroitin sulfate C (GalNAc6S-GlcA), precursor 2					FALSE	original name from Recon 2M.2
MNXM10946	MNXM10946	Cs c pre3	chondroitin sulfate C (GalNAc6S-GlcA), precursor 3					FALSE	original name from Recon 2M.2
MNXM10947	MNXM10947	Cs d pre2	chondroitin sulfate D (GlcNAc6S-GlcA2S) precursor 2					FALSE	original name from Recon 2M.2
MNXM10948	MNXM10948	Cs d deg1	chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 1					FALSE	original name from Recon 2M.2
MNXM10949	MNXM10949	Cs d deg3	chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 3					FALSE	original name from Recon 2M.2
MNXM10950	MNXM10950	Cs d deg5	chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 5					FALSE	original name from Recon 2M.2
MNXM10951	MNXM10951	Cs d pre3	chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 3					FALSE	original name from Recon 2M.2
MNXM10952	MNXM10952	Cs d pre4	chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 4					FALSE	original name from Recon 2M.2
MNXM10953	MNXM10953	Cs d pre5	chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 5					FALSE	original name from Recon 2M.2
MNXM10954	MNXM10954	Cs e deg1	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 1					FALSE	original name from Recon 2M.2
MNXM10955	MNXM10955	Cs e deg2	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 2					FALSE	original name from Recon 2M.2
MNXM10956	MNXM10956	Cs e deg5	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 5					FALSE	original name from Recon 2M.2
MNXM10957	MNXM10957	Cs e deg6	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 6					FALSE	original name from Recon 2M.2
MNXM10958	MNXM10958	Cs e pre3	chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 3					FALSE	original name from Recon 2M.2
MNXM10959	MNXM10959	Cs e pre5a	chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 5a					FALSE	original name from Recon 2M.2
MNXM10960	MNXM10960	Cs e pre5b	chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 5b					FALSE	original name from Recon 2M.2
MNXM11301	MNXM11301	N2m2mn	de-Fuc, reducing GlcNAc removed, de-Sia, de-Gal form of PA6 (w/o peptide linkage)					FALSE	original name from Recon 2M.2
MNXM11315	MNXM11315	Dedoldp U	Dehydrodolichol diphosphate, human uterine homolog					FALSE	original name from Recon 2M.2
MNXM11317	MNXM11317	Dedolp U	Dehydrodolichol phosphate, human uterine homolog					FALSE	original name from Recon 2M.2
MNXM11319	MNXM11319	Dedol U	Dehydrodolichol, human uterine homolog					FALSE	original name from Recon 2M.2
MNXM5749	MNXM5749	ferricytochrome	ferricytochrome c					FALSE	original name from Recon 2M.2
MNXM11408	MNXM11408	DsT antigen	disialyl-T antigen					FALSE	original name from Recon 2M.2
MNXM11427	MNXM11427	Dcsptn1	docosa-4,7,10,13,16-pentaenoic acid (n-6)					FALSE	original name from Recon 2M.2
MNXM11435	MNXM11435	Doldp U	Dolichol diphosphate, human uterine homolog					FALSE	original name from Recon 2M.2
MNXM11479	MNXM11479	Etfox	Electron transfer flavoprotein oxidized					FALSE	original name from Recon 2M.2
MNXM11480	MNXM11480	Etfrd	Electron transfer flavoprotein reduced					FALSE	original name from Recon 2M.2
MNXM11615	MNXM11615	Galgalthcrm hs	Gal-Gal-Gal-Gal-Glc-Cer (homo sapiens)					FALSE	original name from Recon 2M.2
MNXM11616	MNXM11616	Galthcrm hs	Gal-Gal-Gal-Glc-Cer (homo sapiens)					FALSE	original name from Recon 2M.2
MNXM11618	MNXM11618	Lxser	Gal-Xyl-L-Ser (protein)					FALSE	original name from Recon 2M.2
MNXM11641	MNXM11641	Gm1 hs	ganglioside GM1 (homo sapiens)					FALSE	original name from Recon 2M.2
MNXM11643	MNXM11643	Gm2 hs	ganglioside GM2 (homo sapiens)					FALSE	original name from Recon 2M.2
MNXM11645	MNXM11645	Gd1b hs	GD1b (homo sapiens)					FALSE	original name from Recon 2M.2
MNXM11646	MNXM11646	Gd2 hs	GD2 (homo sapiens)					FALSE	original name from Recon 2M.2
MNXM11679	MNXM11679	Acglcgalgbside hs	GlcNAc-Gal globoside (homo sapiens)					FALSE	original name from Recon 2M.2
MNXM11714	MNXM11714	Glygn1	glycogen, structure 1 (glycogenin-11[1,4-Glc])					FALSE	original name from Recon 2M.2
MNXM11715	MNXM11715	Glygn3	glycogen, structure 3 (glycogenin-7[1,4-Glc])					FALSE	original name from Recon 2M.2
MNXM11716	MNXM11716	Glygn4	glycogen, structure 4 (glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})					FALSE	original name from Recon 2M.2
MNXM11717	MNXM11717	Glygn5	glycogen, structure 5 (glycogenin-2[1,4-Glc])					FALSE	original name from Recon 2M.2
